"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
9. <Am>--      ""Hurrah me soul,"" says I,","10. [Verse]
10. <Am>--      shillelagh I let fly"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
10. <Am>--      shillelagh I let fly","10. [Verse]
11. <Am>--      Galway boys were by"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
11. <Am>--      Galway boys were by","10. [Verse]
12. <Am>--      and saw I was a hobblin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
12. <Am>--      and saw I was a hobblin'","10. [Verse]
13. <Am>--      With a loud ""Hurray!"""
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
13. <Am>--      With a loud ""Hurray!""","10. [Verse]
14. <Am>--      joinin' in the affray"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
14. <Am>--      joinin' in the affray","10. [Verse]
15. <Am>--      We quickly cleared the way"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
15. <Am>--      We quickly cleared the way","10. [Verse]
16. <Am>--      on the rocky road to Dublin"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
16. <Am>--      on the rocky road to Dublin","10. [Verse]
17. <Am>--      One, two, three,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
17. <Am>--      One, two, three,","10. [Verse]
18. <Am>-!      four, five"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
10. [Verse]
18. <Am>-!      four, five","11. [Chorus]
1. <Am>--      Hunt the hare and turn her down"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
11. [Chorus]
1. <Am>--      Hunt the hare and turn her down","11. [Chorus]
2. <Am>--      the rocky road and all"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
11. [Chorus]
2. <Am>--      the rocky road and all","11. [Chorus]
3. <Am>--      the way to Dublin, whack"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
11. [Chorus]
3. <Am>--      the way to Dublin, whack","11. [Chorus]
4. <Am>--      follol le-dah"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
11. [Chorus]
4. <Am>--      follol le-dah","12. [Chorus]
1. <Am>--      Hunt the hare and turn her down"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
12. [Chorus]
1. <Am>--      Hunt the hare and turn her down","12. [Chorus]
2. <Am>--      the rocky road and all"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
12. [Chorus]
2. <Am>--      the rocky road and all","12. [Chorus]
3. <Am>--      the way to Dublin, whack"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
12. [Chorus]
3. <Am>--      the way to Dublin, whack","12. [Chorus]
4. <Am>--      follol le-dah"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
12. [Chorus]
4. <Am>--      follol le-dah","13. [Chorus]
1. <Am>--      Hunt the hare and turn her down"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
13. [Chorus]
1. <Am>--      Hunt the hare and turn her down","13. [Chorus]
2. <Am>--      the rocky road and all"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
13. [Chorus]
2. <Am>--      the rocky road and all","13. [Chorus]
3. <Am>--      the way to Dublin, whack"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
13. [Chorus]
3. <Am>--      the way to Dublin, whack","13. [Chorus]
4. <Am>--      follol le-dah"
